"law_id","title","path_pdf","reason"
"52","Zakon o dopunama Zakona o dr?avljanstvu","Zakon o amblemu Republike Srpske-49_07.pdf","Naziv ne odgovara PDF nazivu"
"54","Zakon o zateznoj kamati","Zakon o amnestiji-61_18.pdf","Naziv ne odgovara PDF nazivu"
"55","Zakon o mikrokr?ditnim organizacijama","Zakon o amn?stiji pr?kr?aja-64_06.pdf","Naziv ne odgovara PDF nazivu"
"57","Zakon o pred?kolskom vaspitanju i obrazovanju","Zakon o apotekarskoj djelatnosti-119_08.pdf","Naziv ne odgovara PDF nazivu"
"58","Zakon o arhivskoj djelatnosti","Zakon o apotekarskoj djelatnosti-119_08.pdf","Naziv ne odgovara PDF nazivu"
"59","Zakon o izmjeni Zakona o republi?koj upravi","Zakon o audio-vizuelnim djelatnostima-56_22.pdf","Naziv ne odgovara PDF nazivu"
"60","Zakon o izmjenama i dopunama Zakona o Penzijskom rezervnom fondu Republike Srpske","Zakon o banjama-20_18.pdf","Naziv ne odgovara PDF nazivu"
"61","Zakon o zapo?ljavanju stranih dr?avljana i lica bez dr?avljanstva","Zakon o banjama-24_09.pdf","Naziv ne odgovara PDF nazivu"
"62","Zakon o izmjenama i dopunama Zakona o tr?i?tu hartija od vrijednosti","Zakon o bankama Republike Srpske-3_17.pdf","Naziv ne odgovara PDF nazivu"
"63","Zakon o bazi podataka rezultata analiza dezoksiribonukleinske kiseline","Zakon o Nacionalnom parku ?Kozara?-121_12.pdf","Naziv ne odgovara PDF nazivu"
"65","Zakon o izmjenama i dopunama Zakona o unutra?njem platnom prometu","Zakon o bezbjednosti kriti?nih infrastruktura u Republici Srpskoj-58_19.pdf","Naziv ne odgovara PDF nazivu"
"66","Zakon o izmjeni Zakona o porezima na upotrebu, dr?anje i no?enje dobara","Zakon o bibliote?ko - informacionoj djelatnosti-44_16.pdf","Naziv ne odgovara PDF nazivu"
"67","Zakon o sjemenu poljoprivrednog bilja","Zakon o biocidima-37_09.pdf","Naziv ne odgovara PDF nazivu"
"69","Zakon o bud?etskom sistemu Republike Srpske","Zakon o Nacionalnom parku ?Kozara?-121_12.pdf","Naziv ne odgovara PDF nazivu"
"71","Zakon o unutra?njem platnom prometu","Zakon o cjevovodnom transportu gasovitih i te?nih ugljovodonika i distribuciji gasovitih ugljovodonika-52_12.pdf","Naziv ne odgovara PDF nazivu"
"73","Zakon o registru zaposlenih lica kod korisnika bud?etskih sredstava Republike Srpske","Zakon o dje?joj za?titi-114_17.pdf","Naziv ne odgovara PDF nazivu"
"75","Zakon o donacijama u javnom s?ktoru","Zakon o Ag?nciji za posr?dni?k?, informati?k? i finansijsk? uslug?-96_05.pdf","Naziv ne odgovara PDF nazivu"
"77","Zakon o doprinosima","Zakon o dje?joj za?titi-114_17.pdf","Naziv ne odgovara PDF nazivu"
"78","Zakon o platama zaposlenih u organima uprave Republike Srpske","Zakon o doprinosima-116_12.pdf","Naziv ne odgovara PDF nazivu"
"79","Zakon o izvr?enju bud?eta Republike Srpske za 2008. godinu","Zakon o dopunama Zakona o doprinosima-112_23.pdf","Naziv ne odgovara PDF nazivu"
"80","Zakon o prestanku va?enja Zakona o posebnim republi?kim taksama","Zakon o dopunama Zakona o doprinosima-132_22.pdf","Naziv ne odgovara PDF nazivu"
"81","Zakon o dopunama Zakona o izvr?nom postupku","Zakon o dopunama Zakona o doprinosima-112_23.pdf","Naziv ne odgovara PDF nazivu"
"82","Zakon o imunitetu Republike Srpske","Zakon o dopunama Zakona o radu-39_24.pdf","Naziv ne odgovara PDF nazivu"
