law_id,title,year,url,pdf_path
8643,"Zakon o sprjecavanju pranja novca i finansiranja terorizma iz 2021. godine","2021","https://wapi.gov.me/download/2d735b6d-0108-4208-884c-8d15ef283b1a?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o sprjecavanju pranja novca i finansiranja terorizma iz 2021. godine-2021.pdf"
8648,"Ustavni zakon za sprovodjenje Amandmana I do XVI na Ustav Crne Gore","2021","https://wapi.gov.me/download/12c96842-8120-49af-a71d-c55667b51471?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Ustavni zakon za sprovodjenje Amandmana I do XVI na Ustav Crne Gore-2021.pdf"
8649,"Zakon o socijalnoj i djecjoj zastiti","2021","https://wapi.gov.me/download/4652be9d-16e9-4048-881d-4ca6fa42abf2?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o socijalnoj i djecjoj zastiti-2021.pdf"
8650,"Zakon o radu","2021","https://wapi.gov.me/download/d90fa5c1-a763-4528-9cfe-5805c63c5a37?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o radu-2021.pdf"
8651,"Zakon o zastitniku ci ljudskih prava i sloboda Crne Gore","2021","https://wapi.gov.me/download/a0525c0e-0b1c-40ff-8181-dbae7e19dedc?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o zastitniku ci ljudskih prava i sloboda Crne Gore-2021.pdf"
8652,"Zakon o povlastici na putovanje lica sa invaliditetom","2021","https://wapi.gov.me/download/71fecb62-f38a-43f3-b759-fec476fe4ec0?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o povlastici na putovanje lica sa invaliditetom-2021.pdf"
8653,"Porodicni zakon","2021","https://wapi.gov.me/download/6712737e-24f3-4bd1-9593-5416c49d3b1c?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Porodicni zakon-2021.pdf"
8654,"Zakon o zastiti od nasilja u porodici","2021","https://wapi.gov.me/download/00f2fc23-df5f-4630-96a7-7c6b9807b505?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o zastiti od nasilja u porodici-2021.pdf"
8655,"Zakon o postupanju prema maloljetnicima u krivicnom postupku","2021","https://wapi.gov.me/download/8b07f958-656c-4c8a-8029-7d994d77b4a1?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o postupanju prema maloljetnicima u krivicnom postupku-2021.pdf"
8656,"Zakon o upravnom postupku","2021","https://wapi.gov.me/download/a1a122ef-013c-4b53-9ffc-0718d16b4d99?version=1.0","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o upravnom postupku-2021.pdf"
