law_id,title,url,pdf_path
9079,"Zakon o zaradama zaposlenih u javnom sektoru","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o zaradama zaposlenih u javnom sektoru-2019.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o zaradama zaposlenih u javnom sektoru-2019.pdf"
9104,"Zakon o efikasnom koriscenju energije Sl.list CG br.25-19","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o efikasnom koriscenju energije Sl.list CG br.25-19-2019.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o efikasnom koriscenju energije Sl.list CG br.25-19-2019.pdf"
9113,"Zakon o administrativnim taksama","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o administrativnim taksama-2019.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o administrativnim taksama-2019.pdf"
9126,"Zakon o administrativnim taksama","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o administrativnim taksama-2019.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o administrativnim taksama-2019.pdf"
9162,"Zakon o zastiti prirodnog i kulturno-istorijskog podrucja Kotora","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o zastiti prirodnog i kulturno-istorijskog podrucja Kotora-2018.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o zastiti prirodnog i kulturno-istorijskog podrucja Kotora-2018.pdf"
9189,"Zakon o sportu","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o sportu-2018.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o sportu-2018.pdf"
9265,"Zakon o parničnom postupku","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o parničnom postupku-2017.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o parničnom postupku-2017.pdf"
9266,"Zakon o izvršenju i obezbjeđenju","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izvršenju i obezbjeđenju-2017.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izvršenju i obezbjeđenju-2017.pdf"
9267,"Zakon o ovjeravanju potpisa, rukopisa i prepisa","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o ovjeravanju potpisa, rukopisa i prepisa-2017.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o ovjeravanju potpisa, rukopisa i prepisa-2017.pdf"
9281,"Zakon o nedozvoljenom oglašavanju (Sl. list CG br. 30/17)","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o nedozvoljenom oglašavanju (Sl. list CG br. 3017)-2017.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o nedozvoljenom oglašavanju (Sl. list CG br. 3017)-2017.pdf"
9448,"Zakon o izvršenju i obezbjeđenju","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izvršenju i obezbjeđenju-2017.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o izvršenju i obezbjeđenju-2017.pdf"
9451,"Zakon o parničnom postupku","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o parničnom postupku-2017.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o parničnom postupku-2017.pdf"
9460,"Zakon o admin. taksama precisc.tekst Sl.l. br. 53.2016","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o admin. taksama precisc.tekst Sl.l. br. 53.2016-2016.pdf","D:\Projekti\Regulativa\Dokumenti\Crna Gora\PDF\Zakon o admin. taksama precisc.tekst Sl.l. br. 53.2016-2016.pdf"
